~~~ Starting Training ~~~
Ep.: 88500, Score:   8.15, P_win: 0.89, Tran: 46.15, eps: 0.00, lr: 2.00e-04, pred: 780.41 min
Ep.: 89000, Score:   7.97, P_win: 0.85, Tran: 44.98, eps: 0.00, lr: 2.00e-04, pred: 774.36 min
Ep.: 89500, Score:   7.70, P_win: 0.84, Tran: 50.39, eps: 0.00, lr: 2.00e-04, pred: 768.29 min
Ep.: 90000, Score:   7.74, P_win: 0.83, Tran: 46.17, eps: 0.00, lr: 2.00e-04, pred: 762.21 min
Ep.: 90500, Score:   7.48, P_win: 0.93, Tran: 47.40, eps: 0.00, lr: 2.00e-04, pred: 756.14 min
Ep.: 91000, Score:   7.85, P_win: 0.91, Tran: 48.63, eps: 0.00, lr: 2.00e-04, pred: 750.05 min
Ep.: 91500, Score:   7.61, P_win: 0.88, Tran: 47.38, eps: 0.00, lr: 2.00e-04, pred: 743.95 min
Ep.: 92000, Score:   7.75, P_win: 0.93, Tran: 46.09, eps: 0.00, lr: 2.00e-04, pred: 737.82 min
Ep.: 92500, Score:   7.64, P_win: 0.90, Tran: 46.48, eps: 0.00, lr: 2.00e-04, pred: 731.71 min
Ep.: 93000, Score:   7.57, P_win: 0.86, Tran: 45.59, eps: 0.00, lr: 2.00e-04, pred: 725.45 min
Ep.: 93500, Score:   7.96, P_win: 0.92, Tran: 43.75, eps: 0.00, lr: 2.00e-04, pred: 719.30 min
Ep.: 94000, Score:   8.08, P_win: 0.83, Tran: 49.70, eps: 0.00, lr: 2.00e-04, pred: 713.16 min
Ep.: 94500, Score:   7.38, P_win: 0.92, Tran: 44.97, eps: 0.00, lr: 2.00e-04, pred: 706.90 min
Ep.: 95000, Score:   7.03, P_win: 0.90, Tran: 46.40, eps: 0.00, lr: 2.00e-04, pred: 700.70 min
Ep.: 95500, Score:   7.37, P_win: 0.90, Tran: 45.99, eps: 0.00, lr: 2.00e-04, pred: 694.43 min
Ep.: 96000, Score:   7.75, P_win: 0.86, Tran: 48.36, eps: 0.00, lr: 2.00e-04, pred: 688.26 min
Ep.: 96500, Score:   7.95, P_win: 0.88, Tran: 48.31, eps: 0.00, lr: 2.00e-04, pred: 682.14 min
Ep.: 97000, Score:   7.82, P_win: 0.82, Tran: 47.94, eps: 0.00, lr: 2.00e-04, pred: 675.94 min
Ep.: 97500, Score:   7.72, P_win: 0.94, Tran: 45.14, eps: 0.00, lr: 2.00e-04, pred: 669.76 min
Ep.: 98000, Score:   7.84, P_win: 0.93, Tran: 44.51, eps: 0.00, lr: 2.00e-04, pred: 663.51 min
Ep.: 98500, Score:   8.28, P_win: 0.91, Tran: 45.17, eps: 0.00, lr: 2.00e-04, pred: 657.28 min
Ep.: 99000, Score:   8.07, P_win: 0.87, Tran: 45.56, eps: 0.00, lr: 2.00e-04, pred: 651.04 min
Ep.: 99500, Score:   7.29, P_win: 0.83, Tran: 51.58, eps: 0.00, lr: 2.00e-04, pred: 644.81 min
Ep.: 100000, Score:   8.40, P_win: 0.89, Tran: 49.32, eps: 0.00, lr: 2.00e-04, pred: 638.50 min
Ep.: 100500, Score:   8.42, P_win: 0.93, Tran: 46.25, eps: 0.00, lr: 1.00e-04, pred: 632.29 min
Ep.: 101000, Score:   8.33, P_win: 0.96, Tran: 45.86, eps: 0.00, lr: 1.00e-04, pred: 626.09 min
Ep.: 101500, Score:   7.89, P_win: 0.95, Tran: 44.92, eps: 0.00, lr: 1.00e-04, pred: 619.95 min
Ep.: 102000, Score:   8.42, P_win: 0.93, Tran: 45.46, eps: 0.00, lr: 1.00e-04, pred: 613.67 min
Ep.: 102500, Score:   8.01, P_win: 0.91, Tran: 41.84, eps: 0.00, lr: 1.00e-04, pred: 607.46 min
Ep.: 103000, Score:   8.33, P_win: 0.95, Tran: 42.73, eps: 0.00, lr: 1.00e-04, pred: 601.27 min
Ep.: 103500, Score:   8.54, P_win: 0.93, Tran: 42.19, eps: 0.00, lr: 1.00e-04, pred: 595.04 min
Ep.: 104000, Score:   8.27, P_win: 0.90, Tran: 47.55, eps: 0.00, lr: 1.00e-04, pred: 588.88 min
Ep.: 104500, Score:   8.69, P_win: 0.93, Tran: 44.74, eps: 0.00, lr: 1.00e-04, pred: 582.68 min
Ep.: 105000, Score:   8.50, P_win: 0.94, Tran: 44.37, eps: 0.00, lr: 1.00e-04, pred: 576.51 min
Ep.: 105500, Score:   8.63, P_win: 0.94, Tran: 45.47, eps: 0.00, lr: 1.00e-04, pred: 570.29 min
Ep.: 106000, Score:   8.36, P_win: 0.85, Tran: 47.12, eps: 0.00, lr: 1.00e-04, pred: 563.95 min
Ep.: 106500, Score:   8.46, P_win: 0.94, Tran: 44.10, eps: 0.00, lr: 1.00e-04, pred: 557.69 min
Ep.: 107000, Score:   8.44, P_win: 0.91, Tran: 47.46, eps: 0.00, lr: 1.00e-04, pred: 551.46 min
