~~~ Starting Training ~~~
Ep.: 11500, Score:  -0.56, P_win: 0.36, Tran: 74.42, eps: 0.11, lr: 2.00e-04, pred: 140.68 min
Ep.: 12000, Score:   1.66, P_win: 0.50, Tran: 67.67, eps: 0.11, lr: 2.00e-04, pred: 136.91 min
Ep.: 12500, Score:   1.56, P_win: 0.49, Tran: 66.11, eps: 0.11, lr: 2.00e-04, pred: 133.12 min
Ep.: 13000, Score:   0.85, P_win: 0.37, Tran: 72.85, eps: 0.10, lr: 2.00e-04, pred: 129.35 min
Ep.: 13500, Score:   1.59, P_win: 0.35, Tran: 75.36, eps: 0.10, lr: 2.00e-04, pred: 125.59 min
Ep.: 14000, Score:   0.76, P_win: 0.53, Tran: 66.46, eps: 0.10, lr: 2.00e-04, pred: 121.81 min
Ep.: 14500, Score:   1.79, P_win: 0.52, Tran: 69.62, eps: 0.10, lr: 2.00e-04, pred: 118.04 min
Ep.: 15000, Score:   2.06, P_win: 0.36, Tran: 74.95, eps: 0.09, lr: 2.00e-04, pred: 114.28 min
Ep.: 15500, Score:   1.67, P_win: 0.55, Tran: 68.13, eps: 0.09, lr: 1.00e-04, pred: 110.40 min
Ep.: 16000, Score:   1.91, P_win: 0.44, Tran: 74.88, eps: 0.09, lr: 1.00e-04, pred: 106.60 min
Ep.: 16500, Score:   1.91, P_win: 0.56, Tran: 69.49, eps: 0.09, lr: 1.00e-04, pred: 102.74 min
Ep.: 17000, Score:   2.40, P_win: 0.57, Tran: 66.88, eps: 0.09, lr: 1.00e-04, pred: 98.91 min
Ep.: 17500, Score:   2.59, P_win: 0.44, Tran: 72.32, eps: 0.08, lr: 1.00e-04, pred: 95.09 min
Ep.: 18000, Score:   1.96, P_win: 0.44, Tran: 68.90, eps: 0.08, lr: 1.00e-04, pred: 91.24 min
Ep.: 18500, Score:   2.22, P_win: 0.43, Tran: 72.59, eps: 0.08, lr: 1.00e-04, pred: 87.43 min
Ep.: 19000, Score:   1.61, P_win: 0.40, Tran: 68.10, eps: 0.08, lr: 1.00e-04, pred: 83.61 min
Ep.: 19500, Score:   2.30, P_win: 0.53, Tran: 65.99, eps: 0.08, lr: 1.00e-04, pred: 79.79 min
Ep.: 20000, Score:   2.31, P_win: 0.50, Tran: 71.42, eps: 0.07, lr: 1.00e-04, pred: 75.99 min
Ep.: 20500, Score:   2.17, P_win: 0.41, Tran: 72.04, eps: 0.07, lr: 1.00e-04, pred: 72.17 min
Ep.: 21000, Score:   2.48, P_win: 0.55, Tran: 70.04, eps: 0.07, lr: 1.00e-04, pred: 68.36 min
Ep.: 21500, Score:   2.90, P_win: 0.51, Tran: 71.48, eps: 0.07, lr: 1.00e-04, pred: 64.55 min
Ep.: 22000, Score:   2.71, P_win: 0.50, Tran: 69.15, eps: 0.07, lr: 1.00e-04, pred: 60.73 min
Ep.: 22500, Score:   3.27, P_win: 0.60, Tran: 69.14, eps: 0.06, lr: 1.00e-04, pred: 56.92 min
Ep.: 23000, Score:   2.90, P_win: 0.57, Tran: 68.98, eps: 0.06, lr: 1.00e-04, pred: 53.12 min
Ep.: 23500, Score:   3.24, P_win: 0.55, Tran: 71.20, eps: 0.06, lr: 1.00e-04, pred: 49.32 min
Ep.: 24000, Score:   4.05, P_win: 0.53, Tran: 70.66, eps: 0.06, lr: 1.00e-04, pred: 45.51 min
Ep.: 24500, Score:   3.70, P_win: 0.57, Tran: 67.12, eps: 0.06, lr: 1.00e-04, pred: 41.71 min
Ep.: 25000, Score:   3.69, P_win: 0.63, Tran: 65.87, eps: 0.06, lr: 1.00e-04, pred: 37.91 min
Ep.: 25500, Score:   2.65, P_win: 0.53, Tran: 67.88, eps: 0.06, lr: 5.00e-05, pred: 34.10 min
Ep.: 26000, Score:   3.04, P_win: 0.51, Tran: 69.20, eps: 0.05, lr: 5.00e-05, pred: 30.30 min
Ep.: 26500, Score:   3.44, P_win: 0.62, Tran: 66.95, eps: 0.05, lr: 5.00e-05, pred: 26.51 min
Ep.: 27000, Score:   2.74, P_win: 0.47, Tran: 70.23, eps: 0.05, lr: 5.00e-05, pred: 22.71 min
Ep.: 27500, Score:   3.09, P_win: 0.50, Tran: 71.69, eps: 0.05, lr: 5.00e-05, pred: 18.92 min
Ep.: 28000, Score:   3.81, P_win: 0.66, Tran: 61.84, eps: 0.05, lr: 5.00e-05, pred: 15.13 min
Ep.: 28500, Score:   3.39, P_win: 0.61, Tran: 65.12, eps: 0.05, lr: 5.00e-05, pred: 11.35 min
Ep.: 29000, Score:   3.98, P_win: 0.62, Tran: 66.22, eps: 0.05, lr: 5.00e-05, pred:  7.56 min
Ep.: 29500, Score:   3.27, P_win: 0.56, Tran: 65.86, eps: 0.05, lr: 5.00e-05, pred:  3.78 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score:  -3.76, P_win: 0.05, Tran: 88.64, eps: 0.20, lr: 2.00e-04, pred: 4196.71 min
Ep.:   500, Score:  -9.50, P_win: 0.04, Tran: 87.79, eps: 0.20, lr: 2.00e-04, pred: 221.66 min
Ep.:  1000, Score:  -4.89, P_win: 0.06, Tran: 84.42, eps: 0.19, lr: 2.00e-04, pred: 218.44 min
Ep.:  1500, Score:  -3.37, P_win: 0.19, Tran: 77.27, eps: 0.19, lr: 2.00e-04, pred: 217.40 min
Ep.:  2000, Score:  -3.70, P_win: 0.15, Tran: 76.87, eps: 0.18, lr: 2.00e-04, pred: 214.70 min
Ep.:  2500, Score:  -3.41, P_win: 0.15, Tran: 83.88, eps: 0.18, lr: 2.00e-04, pred: 211.33 min
Ep.:  3000, Score:  -3.36, P_win: 0.19, Tran: 81.32, eps: 0.17, lr: 2.00e-04, pred: 207.87 min
Ep.:  3500, Score:  -2.97, P_win: 0.18, Tran: 84.28, eps: 0.17, lr: 2.00e-04, pred: 204.50 min
Ep.:  4000, Score:  -3.16, P_win: 0.16, Tran: 84.45, eps: 0.16, lr: 2.00e-04, pred: 201.17 min
Ep.:  4500, Score:  -3.20, P_win: 0.25, Tran: 78.18, eps: 0.16, lr: 2.00e-04, pred: 197.61 min
Ep.:  5000, Score:  -2.47, P_win: 0.23, Tran: 86.23, eps: 0.16, lr: 2.00e-04, pred: 194.25 min
Ep.:  5500, Score:  -2.47, P_win: 0.22, Tran: 76.97, eps: 0.15, lr: 2.00e-04, pred: 190.70 min
Ep.:  6000, Score:  -2.10, P_win: 0.15, Tran: 83.88, eps: 0.15, lr: 2.00e-04, pred: 187.06 min
