~~~ Starting Training ~~~
Ep.: 25500, Score:   7.68, P_win: 0.90, Tran: 53.06, eps: 0.06, lr: 5.00e-05, pred: 26.90 min
Ep.: 26000, Score:   7.85, P_win: 0.93, Tran: 50.96, eps: 0.05, lr: 5.00e-05, pred: 23.86 min
Ep.: 26500, Score:   8.07, P_win: 0.93, Tran: 51.70, eps: 0.05, lr: 5.00e-05, pred: 20.84 min
Ep.: 27000, Score:   7.79, P_win: 0.94, Tran: 51.49, eps: 0.05, lr: 5.00e-05, pred: 17.84 min
Ep.: 27500, Score:   8.35, P_win: 0.88, Tran: 54.49, eps: 0.05, lr: 5.00e-05, pred: 14.85 min
Ep.: 28000, Score:   8.01, P_win: 0.92, Tran: 51.69, eps: 0.05, lr: 5.00e-05, pred: 11.86 min
Ep.: 28500, Score:   7.82, P_win: 0.90, Tran: 53.91, eps: 0.05, lr: 5.00e-05, pred:  8.89 min
Ep.: 29000, Score:   8.00, P_win: 0.88, Tran: 53.12, eps: 0.05, lr: 5.00e-05, pred:  5.92 min
Ep.: 29500, Score:   7.92, P_win: 0.95, Tran: 48.30, eps: 0.05, lr: 5.00e-05, pred:  2.95 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -10.90, P_win: 0.04, Tran: 91.44, eps: 0.20, lr: 2.00e-04, pred: 4642.78 min
Ep.:   500, Score:  -5.10, P_win: 0.17, Tran: 80.24, eps: 0.20, lr: 2.00e-04, pred: 179.80 min
Ep.:  1000, Score:  -2.64, P_win: 0.18, Tran: 81.33, eps: 0.19, lr: 2.00e-04, pred: 175.48 min
Ep.:  1500, Score:  -2.64, P_win: 0.23, Tran: 81.88, eps: 0.19, lr: 2.00e-04, pred: 171.84 min
Ep.:  2000, Score:  -1.66, P_win: 0.24, Tran: 77.98, eps: 0.18, lr: 2.00e-04, pred: 168.30 min
Ep.:  2500, Score:  -1.69, P_win: 0.25, Tran: 79.75, eps: 0.18, lr: 2.00e-04, pred: 165.20 min
Ep.:  3000, Score:  -1.61, P_win: 0.31, Tran: 75.97, eps: 0.17, lr: 2.00e-04, pred: 162.19 min
Ep.:  3500, Score:  -1.95, P_win: 0.34, Tran: 74.88, eps: 0.17, lr: 2.00e-04, pred: 159.22 min
Ep.:  4000, Score:  -1.02, P_win: 0.41, Tran: 73.51, eps: 0.16, lr: 2.00e-04, pred: 156.21 min
Ep.:  4500, Score:  -1.22, P_win: 0.26, Tran: 80.34, eps: 0.16, lr: 2.00e-04, pred: 153.22 min
Ep.:  5000, Score:  -0.57, P_win: 0.38, Tran: 74.09, eps: 0.16, lr: 2.00e-04, pred: 150.31 min
Ep.:  5500, Score:   0.02, P_win: 0.50, Tran: 69.80, eps: 0.15, lr: 2.00e-04, pred: 147.45 min
Ep.:  6000, Score:  -0.32, P_win: 0.18, Tran: 83.59, eps: 0.15, lr: 2.00e-04, pred: 144.55 min
Ep.:  6500, Score:  -0.18, P_win: 0.27, Tran: 79.51, eps: 0.14, lr: 2.00e-04, pred: 141.93 min
Ep.:  7000, Score:  -0.01, P_win: 0.43, Tran: 72.47, eps: 0.14, lr: 2.00e-04, pred: 139.61 min
