~~~ Starting Training ~~~
Ep.: 43500, Score:   3.88, P_win: 0.64, Tran: 62.90, eps: 0.02, lr: 2.00e-04, pred: 1073.72 min
Ep.: 44000, Score:   4.56, P_win: 0.76, Tran: 59.17, eps: 0.02, lr: 2.00e-04, pred: 1062.55 min
Ep.: 44500, Score:   4.10, P_win: 0.70, Tran: 60.27, eps: 0.02, lr: 2.00e-04, pred: 1051.12 min
Ep.: 45000, Score:   4.30, P_win: 0.68, Tran: 62.53, eps: 0.02, lr: 2.00e-04, pred: 1039.93 min
Ep.: 45500, Score:   4.80, P_win: 0.75, Tran: 61.04, eps: 0.02, lr: 2.00e-04, pred: 1028.48 min
Ep.: 46000, Score:   4.54, P_win: 0.68, Tran: 63.21, eps: 0.02, lr: 2.00e-04, pred: 1017.18 min
Ep.: 46500, Score:   4.45, P_win: 0.69, Tran: 61.23, eps: 0.02, lr: 2.00e-04, pred: 1005.92 min
Ep.: 47000, Score:   4.27, P_win: 0.61, Tran: 65.97, eps: 0.02, lr: 2.00e-04, pred: 994.55 min
Ep.: 47500, Score:   4.54, P_win: 0.65, Tran: 62.52, eps: 0.02, lr: 2.00e-04, pred: 983.22 min
Ep.: 48000, Score:   4.82, P_win: 0.60, Tran: 63.89, eps: 0.02, lr: 2.00e-04, pred: 971.88 min
Ep.: 48500, Score:   4.40, P_win: 0.69, Tran: 62.84, eps: 0.02, lr: 2.00e-04, pred: 960.62 min
Ep.: 49000, Score:   4.95, P_win: 0.58, Tran: 66.01, eps: 0.02, lr: 2.00e-04, pred: 949.37 min
Ep.: 49500, Score:   4.41, P_win: 0.55, Tran: 62.24, eps: 0.02, lr: 2.00e-04, pred: 938.01 min
Ep.: 50000, Score:   4.40, P_win: 0.49, Tran: 65.79, eps: 0.02, lr: 2.00e-04, pred: 926.61 min
Ep.: 50500, Score:   4.48, P_win: 0.73, Tran: 58.82, eps: 0.02, lr: 2.00e-04, pred: 915.34 min
Ep.: 51000, Score:   4.28, P_win: 0.68, Tran: 63.39, eps: 0.02, lr: 2.00e-04, pred: 904.03 min
Ep.: 51500, Score:   4.65, P_win: 0.70, Tran: 60.35, eps: 0.02, lr: 2.00e-04, pred: 892.81 min
Ep.: 52000, Score:   4.91, P_win: 0.62, Tran: 62.67, eps: 0.01, lr: 2.00e-04, pred: 881.58 min
Ep.: 52500, Score:   4.45, P_win: 0.60, Tran: 65.64, eps: 0.01, lr: 2.00e-04, pred: 870.39 min
Ep.: 53000, Score:   5.57, P_win: 0.65, Tran: 65.04, eps: 0.01, lr: 2.00e-04, pred: 859.18 min
Ep.: 53500, Score:   5.25, P_win: 0.69, Tran: 64.48, eps: 0.01, lr: 2.00e-04, pred: 848.00 min
Ep.: 54000, Score:   4.26, P_win: 0.55, Tran: 67.69, eps: 0.01, lr: 2.00e-04, pred: 836.74 min
Ep.: 54500, Score:   4.73, P_win: 0.68, Tran: 64.87, eps: 0.01, lr: 2.00e-04, pred: 825.44 min
Ep.: 55000, Score:   5.26, P_win: 0.66, Tran: 60.58, eps: 0.01, lr: 2.00e-04, pred: 814.06 min
Ep.: 55500, Score:   4.42, P_win: 0.61, Tran: 66.25, eps: 0.01, lr: 2.00e-04, pred: 802.70 min
Ep.: 56000, Score:   4.82, P_win: 0.55, Tran: 67.74, eps: 0.01, lr: 2.00e-04, pred: 791.38 min
Ep.: 56500, Score:   5.24, P_win: 0.62, Tran: 66.18, eps: 0.01, lr: 2.00e-04, pred: 780.13 min
Ep.: 57000, Score:   4.62, P_win: 0.68, Tran: 62.80, eps: 0.01, lr: 2.00e-04, pred: 768.90 min
Ep.: 57500, Score:   4.73, P_win: 0.70, Tran: 63.83, eps: 0.01, lr: 2.00e-04, pred: 757.61 min
Ep.: 58000, Score:   4.40, P_win: 0.61, Tran: 64.43, eps: 0.01, lr: 2.00e-04, pred: 746.25 min
Ep.: 58500, Score:   3.56, P_win: 0.67, Tran: 59.53, eps: 0.01, lr: 2.00e-04, pred: 734.96 min
Ep.: 59000, Score:   5.04, P_win: 0.56, Tran: 69.09, eps: 0.01, lr: 2.00e-04, pred: 723.62 min
Ep.: 59500, Score:   4.79, P_win: 0.65, Tran: 63.71, eps: 0.01, lr: 2.00e-04, pred: 712.19 min
Ep.: 60000, Score:   4.34, P_win: 0.68, Tran: 63.89, eps: 0.01, lr: 2.00e-04, pred: 700.93 min
